question_code,正答率,選択率1,選択率2,選択率3,選択率4,選択率5,識別値,70%以上のフラグ
105A001,97.2,2.5,97.2,0.2,0.2,,,〇
105A002,99,0.2,0.3,0.5,99.0,,,〇
105A003,77.6,3.8,2.6,77.6,15.9,,,〇
105A004,95,4.5,95.0,0.0,0.5,,,〇
105A005,97.9,0.7,97.9,1.0,0.5,,,〇
105A006,96.5,1.5,96.5,1.5,0.5,,,〇
105A007,92.4,0.2,1.8,92.4,5.6,,,〇
105A008,97.2,1.3,97.2,1.0,0.5,,,〇
105A009,97.5,1.7,97.5,0.7,0.2,,,〇
105A010,98.8,0.5,0.5,0.2,98.8,,,〇
105A011,99.5,0.0,0.2,99.5,0.3,,,〇
105A012,99.2,0.0,0.8,99.2,0.0,,,〇
105A013,76.5,20.5,76.5,2.2,0.8,,,〇
105A014,99.5,0.2,0.2,99.5,0.2,,,〇
105A015,87.1,0.2,9.4,87.1,3.3,,,〇
105A016,95,1.7,2.5,0.8,95.0,,,〇
105A017,92.7,2.1,4.6,0.5,92.7,,,〇
105A018,96.9,1.0,1.5,0.7,96.9,,,〇
105A019,99,0.0,0.2,99.0,0.8,,,〇
105A020,NULL,5.6,2.1,79.7,12.6,,,〇
105A021,99.5,0.0,0.5,99.5,0.0,,,〇
105A022,97.9,1.0,0.3,0.8,97.9,,,〇
105A023,99,99.0,0.2,0.2,0.7,,,〇
105A024,93,4.0,1.3,93.0,1.7,,,〇
105A025,30,30.0,65.5,4.1,0.3,,,×
105A026,61.3,10.7,14.5,13.4,61.3,,,×
105A027,30.4,14.5,30.4,16.5,38.5,,,×
105A028,76.8,76.8,5.5,4.0,13.7,,,〇
105A029,92.6,2.5,1.0,4.0,92.6,,,〇
105A030,63.3,1.2,32.7,63.3,2.8,,,×
105A031,82.3,3.1,1.7,82.3,12.9,,,〇
105A032,93.4,93.4,0.5,3.5,2.6,,,〇
105A033,66.1,3.3,66.1,3.1,27.5,,,×
105A034,25.6,16.7,25.6,53.4,4.3,,,×
