question_code,RBC,RBC名前,environment,body_statement,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,answer,comment
106A026,7,上皮組織,NULL,単層円柱上皮はどれか．,１．表皮,２．腹膜,３．膀胱,４．胃,,4,"<ex>×１　表皮は，身体の表面を覆っている皮膚である．特に丈夫な<span class=""bold"">重層扁平上皮</span>からなる．</ex><ex>×２　腹膜は，体腔の表面を覆っている上皮組織（中皮）である．主に<span class=""bold"">単層扁平上皮</span>からなる．</ex><ex>×３　膀胱は常に尿に接しており，大きさの変化，pHの変動，アンモニアなどの毒性物質に対応できる<span class=""bold"">移行上皮</span>（<span class=""bold"">尿路上皮</span>）によって覆われている．</ex><ex>○４　胃粘膜の表面は<span class=""bold"">単層円柱上皮</span>からなる．消化液の分泌，胃酸からの保護などの機能がある．</ex>"
105P011,9,筋組織,NULL,不随意筋はどれか．,１．心筋,２．僧帽筋,３．大殿筋,４．ヒラメ筋,,1,"<ex>○１　心筋は自分の意志では動かせない<span class=""bold red"">不随意筋</span>である．内臓や血管壁の筋肉など不随意筋の多くは平滑筋であるが，心筋は<span class=""bold red"">横紋筋</span>である．</ex><ex>×２　いずれも骨格筋であり，自分の意志で動かせる<span class=""bold red"">随意筋</span>である．</ex><ex>×３　いずれも骨格筋であり，自分の意志で動かせる<span class=""bold red"">随意筋</span>である．</ex><ex>×４　いずれも骨格筋であり，自分の意志で動かせる<span class=""bold red"">随意筋</span>である．</ex>"
108A084,10,神経組織,NULL,アセチルコリンで収縮するのはどれか．<goth>2つ選べ</goth>．,１．心筋,２．排尿筋,３．腓腹筋,４．立毛筋,５．瞳孔散大筋,"2,3","<ex>×１　洞結節（洞房結節）が収縮・拡張のリズムをつくるペースメーカーとなっているため，心筋は神経刺激がなくても自ら周期的に収縮・拡張を繰り返す．アセチルコリン刺激では，心筋の活動（収縮）はむしろ<span class=""bold"">抑制</span>される．</ex><ex>○２　排尿筋（膀胱平滑筋）は<span class=""bold"">副交感神経</span>によって<span class=""bold"">収縮</span>する．これによって排尿が促される．</ex><ex>○３　腓腹筋は下肢のふくらはぎの骨格筋であり，運動神経終末から放出されるアセチルコリンにより<span class=""bold"">収縮</span>する．</ex><ex>×４　立毛筋は<span class=""bold"">交感神経</span>に支配されており，交感神経刺激や寒さで<span class=""bold"">収縮</span>する．</ex><ex>×５　瞳孔散大筋は<span class=""bold"">交感神経</span>の支配を受けている．逆の働きをする瞳孔括約筋が副交感神経支配筋であり，アセチルコリンで瞳孔は収縮（<span class=""bold"">縮瞳</span>）する．</ex>"
106P011,10,神経組織,NULL,神経伝達物質はどれか．,１．アルブミン,２．フィブリン,３．アセチルコリン,４．エリスロポエチン,,3,"<ex>×１　アルブミンは<span class=""bold red"">血漿タンパク質</span>である．血中の浸透圧を保つ役割があり，低栄養状態や肝機能障害によってこれが欠乏すると，浮腫の原因となる．</ex><ex>×２　フィブリンは<span class=""bold red"">血液凝固タンパク質</span>である．血小板がつくった一次血栓の周りを強固に覆って二次血栓を形成する役割がある．</ex><ex>○３　アセチルコリンは，運動神経終末（神経筋接合部）や副交感神経終末で放出され，情報を伝達する<span class=""bold red"">神経伝達物質</span>である．</ex><ex>×４　エリスロポエチンは腎臓から分泌される<span class=""bold red"">造血ホルモン</span>で，赤血球産生を促進する．</ex>"
112A026,10,神経組織,NULL,骨格筋の細胞膜には（　　）に対する受容体がある．自己抗体がこの受容体の働きを阻害すると骨格筋は収縮できなくなる．<br/>（　　）に入る神経伝達物質として正しいのはどれか．,１．アセチルコリン,２．アドレナリン,３．ドパミン,４．ノルアドレナリン,,1,"<ex>○１　<span class=""bold"">アセチルコリン</span>は運動神経の末端，いわゆる神経終末から放出される神経伝達物質である．これが骨格筋の細胞膜にある受容体に接合して，筋収縮を起こす．そのため，自己抗体がアセチルコリンに対する受容体の働きを阻害すると，骨格筋は収縮できなくなる．</ex><ex>×２　<span class=""bold"">アドレナリン</span>は自律神経の交感神経が興奮することで，副腎髄質より分泌される副腎髄質ホルモンである．心拍数や血圧の上昇，糖新生による血糖上昇を促す作用がある．</ex><ex>×３　<span class=""bold"">ドパミン</span>はアドレナリンやノルアドレナリンとともにカテコールアミンの一種で，アドレナリンやノルアドレナリンの前駆体である．主に脳内で分泌される神経伝達物質で，意欲や運動，快楽などに関係する．</ex><ex>×４　<span class=""bold"">ノルアドレナリン</span>は脳内で分泌される神経伝達物質として，怒りや覚醒，鎮痛などに作用するほか，交感神経の神経伝達物質としての作用，さらには副腎髄質ホルモンとして分泌され，血管収縮，血圧上昇，血糖上昇などをもたらす作用がある．</ex>"
113A026,10,神経組織,NULL,神経線維には髄鞘のあるものとないものがあるが，活動電位に対する髄鞘の働きはどれか．,１．活動電位の発生頻度を増やす．,２．活動電位のピークを高くする．,３．活動電位の伝導速度を速くする．,４．活動電位が周囲の神経線維に伝わるのを防ぐ．,,3,"<ex>×１　髄鞘は活動電位の発生頻度に直接的な影響を与えない．発生頻度は，外部からの刺激の強さ，受容体の感受性や数の増減によって変わる．</ex><ex>×２　活動電位のピーク値は，一度発生すると一定であり，髄鞘はこの値に影響しない．</ex><ex>○３　髄鞘は神経線維を断続的に覆っており，絶縁体の働きをしている．活動電位は髄鞘に覆われていないランビエ<ruby>絞<rp>(</rp><rt>こう</rt><rp>)</rp></ruby><ruby>輪<rp>(</rp><rt>りん</rt><rp>)</rp></ruby>で生じ，髄鞘で覆われた部分を跳び越えて伝わる．この<span class=""bold"">跳躍伝導</span>によって電気信号はより迅速に伝導される．</ex><ex>×４　髄鞘には活動電位が周囲の神経線維に伝わるのを防ぐ効果はあるが，その主要な役割は活動電位の伝導速度を高めることである．</ex>"
114P078,11,エネルギー代謝,NULL,術後の回復過程でエネルギー不足の場合にケトン体の供給源となるのはどれか．,１．乳酸,２．尿酸,３．脂肪酸,４．蛋白質,５．アンモニア,3,<ex>×１　乳酸は嫌気性解糖により生成される最終産物であり，肝臓でグルコースに再変換されてエネルギーとして利用される．手術後の低酸素状態で乳酸が増加することはあるが，ケトン体への変換経路は存在せず，供給源とはならない．</ex><ex>×２　尿酸はプリン体代謝の最終産物であり，エネルギー代謝とは直接関係しない．手術侵襲により尿酸値が上昇することはあるが，ケトン体の供給源とはならない．</ex><ex>○３　脂肪酸は，エネルギー不足時に脂肪組織から放出され，肝臓でケトン体に変換される．生成されたケトン体は，脳や筋肉などの重要な臓器で代替エネルギー源として利用される．手術後の異化亢進期では，脂肪酸がケトン体生成の主要な供給源となる．</ex><ex>×４　タンパク質は分解されてアミノ酸となり，主に糖新生の材料として利用される．一部のアミノ酸（ケト原性アミノ酸）はケトン体合成に関与するが，主要な供給源ではない．</ex><ex>×５　アンモニアはアミノ酸代謝の副産物で，肝臓で尿素に変換され排泄される．手術後の異化亢進でアンモニアが増加することがあるが，エネルギー代謝には関与せず，ケトン体の供給源とはならない．</ex>
106P073,12,恒常性（ホメオスタシス）,NULL,ホメオスタシスに関与するのはどれか．<goth>2つ選べ</goth>．,１．味蕾,２．筋紡錘,３．痛覚受容器,４．浸透圧受容器,５．中枢化学受容体,"4,5","<ex>×１　<ruby>味<rp>(</rp><rt>み</rt><rp>)</rp></ruby><ruby>蕾<rp>(</rp><rt>らい</rt><rp>)</rp></ruby>は舌の表面にある<span class=""bold"">味覚</span>の受容器である．恒常性には関係しない．</ex><ex>×２　筋<ruby>紡<rp>(</rp><rt>ぼう</rt><rp>)</rp></ruby><ruby>錘<rp>(</rp><rt>すい</rt><rp>)</rp></ruby>は筋の<span class=""bold"">張力</span>を感知する器官で，その知覚情報をもとに筋の収縮力が<span class=""bold"">反射的に</span>調節されている．膝蓋腱反射はその一例であるが，恒常性には関与していない．</ex><ex>×３　針を刺すなどの外界からの侵害刺激は，痛覚受容器で痛みとして感知され，身体を損傷から守る警告信号として役立っている．しかし，痛みに対する反応は<span class=""bold"">反射的に</span>生じ，恒常性とは呼ばない．</ex><ex>○４　視床下部にある浸透圧受容器は，脱水などにより血漿浸透圧が上昇すると，<span class=""bold"">バソプレシン</span>（抗利尿ホルモン）の分泌を調節して尿量を変化させる．これにより体内の水分量を一定に保ち，血圧をほぼ一定にすることで<span class=""bold"">恒常性</span>を保っている．</ex><ex>○５　延髄にある中枢化学受容体は，血液中の二酸化炭素濃度の上昇（pH低下）を感知すると，<span class=""bold"">呼吸中枢</span>を刺激して横隔膜などの呼吸筋を動かす．これにより呼吸数を調節し，全身へ酸素を安定的に供給することで<span class=""bold"">恒常性</span>を保っている．</ex>"
109P028,13,体温調節,NULL,体温のセットポイントが突然高く設定されたときに起こるのはどれか．,１．立毛,２．発汗,３．代謝抑制,４．皮膚血管拡張,,1,"<ex>○１　体温のセットポイントが突然高くなると，身体は寒いと感じ（<span class=""bold"">悪寒</span>），皮膚の立毛（<span class=""bold"">鳥肌</span>），皮膚血管の収縮，熱産生量を増すために筋肉のふるえ（<span class=""bold"">戦慄</span>）が生じる．</ex><ex>×２　発汗は体温がセットポイントより高い場合に，熱を<span class=""bold"">放散</span>させるために起こる．水が蒸発するときに気化熱として熱が奪われる．</ex><ex>×３　体温のセットポイントが高く設定されると，体温を上昇させるために代謝を亢進させて熱産生反応が生じる．代謝は抑制されない．</ex><ex>×４　体温がセットポイントより低い場合には，皮膚血管が<span class=""bold"">収縮</span>して血流量を減少させ，皮膚からの熱の放出を抑制する．一方，セットポイントが体温より低い場合には，暑いと感じ皮膚血管が拡張して，熱の放出量は増加する．</ex>"
113P077,13,体温調節,NULL,外傷や風邪で発熱し，解熱するまでの体温のセットポイントと実際の体温（核心温度）の変化の例を図に示す．<br/><img1/><br/>全身のふるえが起こるのはどれか．,１．①,２．②,３．③,４．④,５．⑤,2,"<ex>×１　①では，セットポイントと実際の体温がほぼ一致しており，全身のふるえなどの体温調節による反応はみられない．</ex><ex>○２　②では，発熱物質の影響でセットポイントが上昇している．このとき実際の体温が新しいセットポイントに達するまで，生体は<span class=""bold"">悪寒</span>を感じ，筋肉をふるわせて熱を産生する．この反応は体温を上げるためのもので，これと同時に，放熱を防ぐため末梢血管の<span class=""bold"">収縮</span>や<span class=""bold"">立毛</span>が生じる．</ex><ex>×３　③や④では，実際の体温が新しいセットポイントに達し，生体はこの温度を維持しようとする．このため，全身のふるえなどの体温調節による反応はみられない．</ex><ex>×４　③や④では，実際の体温が新しいセットポイントに達し，生体はこの温度を維持しようとする．このため，全身のふるえなどの体温調節による反応はみられない．</ex><ex>×５　⑤では，発熱物質が消失し，セットポイントが元の値に戻っている．実際の体温がセットポイントよりも高いため，<span class=""bold"">暑さ</span>を感じ，生体は過剰な熱を放出しようと末梢血管の<span class=""bold"">拡張</span>や<span class=""bold"">発汗</span>が生じる．この段階では，全身のふるえはみられない．</ex>"
